ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price
KXUKRIMPEACH-26,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 21:31:34.322881+00:00,0.13
KXWLEADER-25-VP,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 11:48:28.821253+00:00,0.84
KXELECTUKRAINE-26,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 08:19:42.290464+00:00,0.43
KXFRIDMAN-26JAN01-VP,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18
KXPRESVISIT-26-RU,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 11:32:10.508638+00:00,0.33
KXPRESVISIT-26-UKR,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 08:57:14.474209+00:00,0.24
KXUKRIMPEACH-26,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 21:31:34.322881+00:00,0.13
KXWLEADER-25-VP,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 11:28:04.013156+00:00,0.86
KXELECTUKRAINE-26,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 17:35:08.189435+00:00,0.42
KXFRIDMAN-26JAN01-VP,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 13:10:47.990929+00:00,0.71
KXMARALAGO-26-VZ,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18
KXPRESVISIT-26-RU,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 15:00:03.271757+00:00,0.32
KXPRESVISIT-26-UKR,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 21:41:34.324739+00:00,0.24
KXUKRIMPEACH-26,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 19:25:54.573811+00:00,0.13
KXWLEADER-25-VP,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 11:28:04.013156+00:00,0.86
KXELECTUKRAINE-26,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-22 10:12:22.314481+00:00,0.42
KXFRIDMAN-26JAN01-VP,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-21 13:10:47.990929+00:00,0.71
KXMARALAGO-26-VZ,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18
KXPRESVISIT-26-RU,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-22 10:38:23.445062+00:00,0.33
KXPRESVISIT-26-UKR,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-21 21:41:34.324739+00:00,0.24
KXUKRIMPEACH-26,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-21 19:25:54.573811+00:00,0.13
KXWLEADER-25-VP,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-21 11:28:04.013156+00:00,0.86
KXELECTUKRAINE-26,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-22 22:07:50.972109+00:00,0.42
KXFRIDMAN-26JAN01-VP,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-21 13:10:47.990929+00:00,0.71
KXMARALAGO-26-VZ,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18
KXPRESVISIT-26-RU,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-22 16:55:38.477183+00:00,0.33
KXPRESVISIT-26-UKR,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-22 22:55:09.404026+00:00,0.21
KXUKRIMPEACH-26,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-21 19:25:54.573811+00:00,0.13
KXWLEADER-25-VP,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-21 11:28:04.013156+00:00,0.86
KXELECTUKRAINE-26,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-23 10:39:21.144665+00:00,0.44
KXFRIDMAN-26JAN01-VP,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-21 13:10:47.990929+00:00,0.71
KXMARALAGO-26-VZ,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-23 05:15:44.919146+00:00,0.19
KXPRESVISIT-26-RU,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-22 16:55:38.477183+00:00,0.33
KXPRESVISIT-26-UKR,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-23 11:55:24.895557+00:00,0.17
KXSECSTATEVISIT-26-RUS,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-22 22:55:09.404026+00:00,0.21
KXUKRIMPEACH-26,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-21 19:25:54.573811+00:00,0.13
KXWLEADER-25-VP,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-23 08:26:38.815536+00:00,0.8
KXELECTUKRAINE-26,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 20:54:05.104253+00:00,0.43
KXFRIDMAN-26JAN01-VP,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-21 13:10:47.990929+00:00,0.71
