condition_id,market_id_pm,request_id,prepared_block,init_block,init_tx,init_log_index
0xb2527b0abc0dde233f5478d1fa6f043cd9fbe6a79ee1e02711773a3e3a869d53,507890,0xcfa70938251a7dab1f1ee330332549d1cecc0425a8ddf8c31d6a0f22e054d2f7,62226738,62226735,0x272f7093aab88390a74b87cd112aebc2654c035e1a91b2f771c70193df0ab3af,1130
0x9cf7ca2ab303017fd3169f7ce40357ea6b46672dbb79935ba3e0a0c893b96f03,525368,0xe08d692a7138f761e7cce9c6b1e5085ac820a9afca9774521b3eb9d1d5744be9,68406943,68406937,0xc40dd255baf7c257f23430d39d199a550affbf4c5d9996dd7f9669690a256172,344
0x872b293fc86a2e392b344fcda74799c8a77f6d54e17b1eaf2ac04b81edb45505,509106,0xa379f5e5de3771cefd4380bf380ed8c55c0f1188a6aea8c84e7bb861d43dfa16,62788279,62788274,0x8e7313623ad2941602a966a053c4b8dcab08236d9bc5e56bc963cac0b389ffae,258
0x4ea1a572e24ed7db20d3550ab0108603150b68f6829750ec331d90cce58a459a,507891,0xcad57147a3cf24ebe97e209805f0fe72773d971e45122546f4a1d107e1235ad4,62226753,62226750,0x9fc7275ae584d6022ec3906fdbc6ce75b617aff4d932699ba84159f6494b9367,159
0x5cbed2da6aafc562a3eac928fd621978713634ec1cc167cd74fd39499581181b,525530,0xd537a3961ec501ab8102773113f95f7f59f5a4f798aaddc9b436adc5bbbbab29,68608650,68608645,0xdcc9a01ff82b01032d9c7ad0d55125ec80e3d62a770e8552f3e065622c720216,134
0xd370dc54fac404cb545564df43d8036500da8ef683cbbc0dc1fbce3ab1e0217b,525624,0x2ff563b7c05f4193039e2e9a07e897766acb982590d7ba90767d1425061a28a6,68608645,68608642,0x858aa7eb76f75f23c1fa10c32b09cb7fdca983a31b0ee834b8b218df2ddff7a3,174
0x763cc84a3cde36b9ce12a8afe6d3e1e3e46e50692e8ec47636c7803c1033cfab,507892,0x03d4135712a2bc2292c99ff85ccbad782dce3723fe01b64747160a1eb9ca5b14,62226781,62226777,0x5327e5b9e31403487f47cfdacb1e2de4e008c8ea390a13f33840a54fe3a818b7,118
0xf04411511f74ed05240b53c97bb578244f3058f8846997d47324f23021d7e0c6,507893,0x12e0e53b806cf907596a3efa7f9e96ceb941e8b35ccc8744bb07d7053942849c,62226801,62226797,0xa552b37cf2415f630703b8d4aff2b62f4006967c76b1e7d055ed665ab99250be,135
0xbe18b72dc5fe801642372b31cf9351a9a35799a06773323a7104e97ebf4d4ec9,509107,0x0ee13dcea63fd11db0cd28830d8ec059338039b51d545821e41402debb483d9d,62788292,62788288,0xef382ae95d9b99a94034be28999c07e7089e7ad7f77c9ccc67ac7761f761f2ee,351
0x5fc9f2bcee3566a981e7d1ee449a2e44cebc2fd35dd1457d2fdd1e5f23b602b4,525528,0x877a98af8fdbdfa86c1ff2bc2a6f7e67f3e6774afc82efe4bdc7336fa157f142,68608201,68608198,0xa4af3f698f640cd55eae5ef9a2e606db50d5be6e108f6b5ebbb9d97a5f08bd1b,402
0xc312615ee72a15e6b7d3e5db4c01fab5ad57103f1db814a38890eb5aed331f8d,525622,0x8f98de4faa9201afa64907e4ffeac8fa22b41595c0c899c74986ced6c048fb81,68608201,68608196,0x8c1e2c6601e47d111bfadf1b104c6a73db2a420f6c843de9008176d866dadfa2,444
0x98688bb50142d4531dde904f4d3c478f1a6138507877ebb9b3ad17940fee3045,509108,0x7ef18642323f6a8f7adc0598d313ae6e25def34d70248362f5acb40dcbcaf413,62788336,62788330,0x27f0db52df44cc302d0a5ffc84ad4ac9b77b034ad7208fcad8c14fb36ff5710f,140
0xd97d95f15edfe56fd412a3e95929497903f16069964f63b7ced90172cd723d61,525427,0xe6cad7faff753b1339abd9583dcdef48539e2b357a81067b320a1873cbb01073,68407754,68407751,0x3f9ccf518450965a7350298baf787405eb98d3808e30bf2c97c4eb1ff15f0ce4,298
0x68a14da906e9e7cd029f77fcbf8abc7396c5923e14973751a94c99f6daa9d7b8,525396,0x4e557b1b0c48ebf09e6575080517bdaf88ac458996474b7ee49968092a23bad8,68407750,68407747,0x9cf5b86a1b52bd1371c14d4b611ad9316481c9fa955b59609b5014bd0246c35b,178
0xd3515b9a758863a8270f9eb388627b896358ae3f3e7bc9a1cfa05a2e90913962,525550,0x24bc86ab1a7962952a8056356790f2df8a20e67898b6ca232356f9a79294667d,68609110,68609106,0x6f0799fd5bc5b28c9740bf23883add85daad86f4ef212f6b846c1a4df48b4b8f,102
0x52933e0208f96c9d8339d686c410cd5a188d9585555996874315d1a534141825,509109,0xc915f1c4438213b8231a0411f68436d6debeb6aeabc0cdd84aeb1efc8a46bbf9,62788369,62788364,0x550bbd65de1f085d09988d7a3986064f879e6e1ce8ef276cde494a6d4c278219,217
0xea6add66b06dfdd20b051f6dea7e3ed6e5087a22686f1f65feb8ed14b60e9c2a,509110,0x6d1c4aa6bddcf47d409be11d2243fec10572f8b59878b20a2e299f4178ead1b4,62788347,62788342,0x4e6f315c5a2d57d49553da3163bb02046f92f334363931b0a087c2f75bd12035,202
0x13041f785614fc083d0d0ad60390b9e7f38daa10afd4f09b498259acfff18bd2,525640,0x63976963d7eabd83c90154b1d906e939ad55594bf2d8fdb726f210a3747ffe15,68608972,68608967,0x865da2acec1865912ffd23b6609ff4545fb763a568338e0990993843c531b14a,233
0x5cc4f3fe707fda933306e5266a7bb2599dd539da1150bd3293011ea47ee0fe9d,525417,0xc7e8ece4d2a985582252f2a966ed26518c2cc1adece9cb3cc65abf8b9f60540e,68407653,68407650,0x414bc80f2813e5e40fe821f5ce6d75fab34c9d5714b2857157b6670ba1bc5302,238
