ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXUSAMBNATO-25-JUN,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,,,
KXUSAMBNATO-25-MAY,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 08:27:48.669934+00:00,0.75,2025-03-21 01:27:48.669934-07:00
KXWHVISIT-25-VP,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-18 07:45:33.841157+00:00,0.02,2025-03-18 00:45:33.841157-07:00
KXWLEADER-25-VP,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 11:28:04.013156+00:00,0.86,2025-03-21 04:28:04.013156-07:00
KXWLEADERUKR-25MAR-VZEL,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 11:49:23.570264+00:00,0.05,2025-03-21 04:49:23.570264-07:00
KXELECTUKRAINE-26,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 17:35:08.189435+00:00,0.42,2025-03-21 10:35:08.189435-07:00
KXFRIDMAN-26JAN01-VP,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 13:10:47.990929+00:00,0.71,2025-03-21 06:10:47.990929-07:00
KXGOVTRECOGSYRIA-25-RU,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 20:25:00.449103+00:00,0.05,2025-03-21 13:25:00.449103-07:00
KXMARALAGO-26-VZ,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21,2025-03-08 02:35:32.381174-08:00
KXMOONMAN-31-R,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1,2024-11-30 23:12:28.152982-08:00
