ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXTPSUKR-25,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-06-27 07:06:43.653269+00:00,0.1,2025-06-27 00:06:43.653269-07:00
KXUKRAINERESIGN-26,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-04 12:17:34.399779+00:00,0.09,2025-07-04 05:17:34.399779-07:00
KXUKRIMPEACH-26,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-04 22:17:51.500443+00:00,0.1,2025-07-04 15:17:51.500443-07:00
KXWHVISIT-26JAN-VPUT,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-04 07:47:06.757234+00:00,0.11,2025-07-04 00:47:06.757234-07:00
KXWHVISIT-26JAN-VZEL,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-05 11:28:16.116445+00:00,0.41,2025-07-05 04:28:16.116445-07:00
KXWLEADER-25-VP,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-04 08:58:09.066532+00:00,0.41,2025-07-04 01:58:09.066532-07:00
KXBILATERALMENTION-25JUN06-NATO,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-06 11:44:37.556409+00:00,0.35,2025-07-06 04:44:37.556409-07:00
KXBOYCOTTWC-26,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-06-26 19:56:00.221196+00:00,0.13,2025-06-26 12:56:00.221196-07:00
KXELECTUKRAINE-26,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-06 08:21:00.308852+00:00,0.11,2025-07-06 01:21:00.308852-07:00
KXEUROVISIONTELEVOTE-25-UKR,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,,,
KXFLIGHTSRUSSIA-25,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-06-30 21:45:37.220625+00:00,0.19,2025-06-30 14:45:37.220625-07:00
KXFRIDMAN-26JAN01-VP,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-04-27 20:49:20.564258+00:00,0.12,2025-04-27 13:49:20.564258-07:00
KXFTACOUNTRIES-26-RUS,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-04 18:19:33.171535+00:00,0.08,2025-07-04 11:19:33.171535-07:00
KXLEADERMEETPOPE-26-VPUT,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-06-24 10:04:05.949292+00:00,0.14,2025-06-24 03:04:05.949292-07:00
KXLEADEROUT-25-VPUT,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-04 09:35:30.020182+00:00,0.01,2025-07-04 02:35:30.020182-07:00
KXMARALAGO-26-VZ,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-03 16:12:45.633080+00:00,0.1,2025-07-03 09:12:45.633080-07:00
KXMENWORLDCUP-26-UA,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,,,
